filename,Actual,Prediction,reason
4-BB2AA_Task2-Detected.json,Pos,0,"The gaze trace indicates a pattern of short fixations on various cockpit instruments interspersed with saccades, which is typical during normal monitoring. The pilot's attention shifts between the MCDU, ND, FCU, and external environment in a routine manner without prolonged fixations or erratic movements that would suggest abnormality detection."
18-BB2AA_Task1-Detected.json,Pos,1,"The gaze trace includes several instances of 'ND' (Navigation Display) and 'ECAM and MFD' (Electronic Centralized Aircraft Monitor and Multifunction Display) activity, which are strong indicators of the pilot checking systems and performing abnormality detection. The presence of frequent saccades also suggests heightened scanning behavior typical during abnormality detection."
2-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace shows several instances of 'ND' (Non-Destructive) and 'Others' with correspondingly variable pupil sizes, as well as frequent saccades suggesting the pilot might be scanning the cockpit displays and instruments closely. This pattern is often associated with abnormality detection where quick change of gaze to different instruments is required."
17-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace shows the pilot frequently shifting attention between different areas such as ECAM and MFD, ND, and FCU with many short fixation points and saccades. The high frequency of saccades and the variation in pupil sizes indicate the pilot is likely engaged in a detailed scan pattern typical of abnormality detection rather than normal monitoring."
16-BB2AA_Task1-Detected.json,Pos,1,"The gaze trace includes frequent data labeled as 'ECAM and MFD' and 'Others', along with multiple saccades. ECAM (Electronic Centralized Aircraft Monitor) and MFD (Multi-Function Display) are typically used for monitoring and detecting abnormalities. The presence of extended fixation periods on these displays suggests the pilot is engaged in abnormality detection rather than just typical monitoring."
3-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace shows a pattern of frequent and rapid saccades interspersed with periods of normal monitoring (ND) and other gaze categories (PFD, Others). Abnormality detection often requires quick, frequent shifts in gaze to scan various instruments and the environment, which is evident in the given data with numerous short saccades. Additionally, changes in pupil size further support the conclusion that the pilot is conducting active scanning rather than just passive monitoring."
7-BB2AA_Task1-Detected.json,Pos,1,"The pilot's gaze trace frequently focuses on key flight instruments such as the ECAM and MFD, FCU, MCDU, and ND. These instruments are typically checked during abnormality detection procedures to identify and diagnose issues. The pattern suggests systematic scanning rather than routine monitoring."
9-BB2AA_Task2-Detected.json,Pos,1,"The gaze trace includes several ND (Non-Detection) and FCU (Frequent Check-Up) entries, along with frequent saccades, indicating the pilot is likely engaged in abnormality detection behavior rather than normal monitoring."
10-AA2BB_Task1-Detected.json,Pos,1,"The gaze trace includes frequent saccades and fixations on various cockpit instruments (ECAM and MFD, FCU, LDG), which suggests that the pilot is actively searching for and addressing potential abnormalities rather than just conducting routine monitoring."
7-AA2BB_Task2-Detected.json,Pos,1,"The pilot's gaze trace includes multiple instances of focus on the PFD (Primary Flight Display), ND (Navigation Display), and ECAM (Electronic Centralized Aircraft Monitor), which indicate a thorough check of critical flight instruments. The frequent and systematic saccades between these displays and other monitored areas suggest more intensive monitoring than usual, indicative of potential abnormality detection."
